id,timestamp,amount,temperature_r,pressure_kpa
A001,2024-01-01T00:00:00,12.50,72.3,101.2
A002,2024-01-01T00:00:05,13.25,72.4,101.1
A003,2024-01-01T00:00:10,11.80,72.5,101.3
A004,2024-01-01T00:00:15,14.10,72.2,101.2
A005,2024-01-01T00:00:20,12.90,72.6,101.4
A006,2024-01-01T00:00:25,13.75,72.3,101.1
A007,2024-01-01T00:00:30,12.10,72.7,101.2
A008,2024-01-01T00:00:35,13.40,72.4,101.3
A009,2024-01-01T00:00:40,14.50,72.5,101.2
A010,2024-01-01T00:00:45,12.75,72.3,101.1
A011,2024-01-01T00:00:50,13.10,72.6,101.4
A012,2024-01-01T00:00:55,13.85,72.4,101.2
A013,2024-01-01T00:01:00,12.40,72.5,101.3
A014,2024-01-01T00:01:05,13.95,72.3,101.1
A015,2024-01-01T00:01:10,14.20,72.7,101.2
A016,2024-01-01T00:01:15,12.65,72.4,101.3
A017,2024-01-01T00:01:20,13.50,72.5,101.2
A018,2024-01-01T00:01:25,12.80,72.6,101.4
A019,2024-01-01T00:01:30,14.00,72.3,101.1
A020,2024-01-01T00:01:35,13.25,72.4,101.2
